nr_registro,marca_comercial,formulacao,ingrediente_ativo,titular_de_registro,classe,modo_de_acao,cultura,praga_nome_cientifico,praga_nome_comum,empresa_pais_tipo,classe_toxicologica,classe_ambiental,organicos,situacao
315,Grant,SL - Concentrado Solúvel,"2,4-D amina (ácido ariloxialcanóico) (806 g/L)",AGRICONNECTION IMPORTADORA E EXPORTADORA DE INSUMOS AGRÍCOLAS - BARUERI/SP,Herbicida,Sistêmico,TRIGO,Euphorbia heterophylla,amendoim-bravo; café-do-diabo; flor-de-poetas," (Shandong Weifang Rainbow Chemical Co., Ltd. - Unidade Fabril 01<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Iharabras S.A. Indústria Químicas - Sorocaba<BRASIL>FORMULADOR) +  (Tagma Brasil Indústria e Comércio de Produtos Químicos Ltda.<BRASIL>FORMULADOR) +  (Ultrafine Technologies Indústria e Comércio de Produtos Químicos Ltda. - Indaiatuba/SP<BRASIL>FORMULADOR) +  (Agricola Alvorada S.A. - Primavera do Leste/MT (Parque industrial)<BRASIL>IMPORTADOR) +  (CAC Nantong Chemical Co. Ltd. - Jiangsu<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Jiangxi Tianyu Chemical Co., Ltd.<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Jiangsu Good Harvest - Weien Agrochemical Co. Ltd.<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Meghmani Organics Ltd. Unit IV - Dahej<ÍNDIA>FORMULADOR) +  (Atul Limited<ÍNDIA>FORMULADOR)",Categoria 4  Produto Pouco Tóxico,Produto Perigoso ao Meio Ambiente,NAO,True
7316,Glifosato Nortox SL,SL - Concentrado Solúvel,glifosato-sal de isopropilamina (glicina substituída) (480 g/L),NORTOX S.A. - ARAPONGAS,Herbicida,Sistêmico,FEIJÃO-CAUPI,Eragrostis pilosa,capim-barbicha-de-alemão; capim-mimoso (2); capim-orvalho," (Nortox S.A. - Arapongas<BRASIL>FORMULADOR) +  (Nortox S.A. - Rondonópolis<BRASIL>FORMULADOR) +  (Fenasol S.A- Florida<URUGUAI>FORMULADOR) +  (Jiangsu Corechem Co. Ltd.<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Jiangsu Good Harvest - Weien Agrochemical Co. Ltd.<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Wasion Crop Science and Technology Co., Ltd.<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Zhejiang Xinan Chemical Industrial Group Co., Ltd - Jiande City<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Anhui Guangxin Agrochemical Co., Ltd. - Anhui<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Nantong Jiangshan Agrochemical & Chemical Ltd. Liability Co.<CHINA, REPUBLICA POPULAR>FORMULADOR)",Categoria 5  Produto Improvável de Causar Dano Agudo,Produto Perigoso ao Meio Ambiente,NAO,True
34422,Perimeter,SL - Concentrado Solúvel,"Swinglea glutinosa (Terpenos), Extrato de (Derivado vegetal) (868.4 g/L)",GOWAN PRODUTOS AGRÍCOLAS LTDA. - MATRIZ CAMPINAS/SP,Fungicida,,AÇAÍ,Podosphaera spp.,-, (Ecoflora Agro Formulaciones S.A.S - Vereda Chachafruto<COLÔMBIA>FORMULADOR) +  (Indústrias Químicas Lorena Ltda - Roseira <BRASIL>MANIPULADOR) +  (Sipcam Nichino Brasil S.A. - Uberaba/MG<BRASIL>MANIPULADOR),Não Classificado - Produto Não Classificado,Produto Pouco Perigoso ao Meio Ambiente,NAO,True
11013,Nufosate,SL - Concentrado Solúvel,glifosato-sal de isopropilamina (glicina substituída) (480 g/L),SUMITOMO CHEMICAL BRASIL INDÚSTRIA QUÍMICA S.A. - MARACANAÚ/CE,Herbicida,sistêmico,MAÇÃ,Senecio brasiliensis,flor-das-almas; flor-de-finados; maria-mole (2), (Sumitomo Chemical Brasil Indústria Química S.A. - Maracanaú/CE<BRASIL>FORMULADOR) +  (Adama Brasil S.A.- Londrina/PR<BRASIL>FORMULADOR) +  (Adama Brasil S.A. - Taquari<BRASIL>FORMULADOR) +  (Sipcam Nichino Brasil S.A. - Uberaba/MG<BRASIL>FORMULADOR) +  (Atanor S.C.A  - Buenos Aires<ARGENTINA>FORMULADOR) +  (Nufarm Australia Limited - Pipe<AUSTRÁLIA>FORMULADOR),Categoria 5  Produto Improvável de Causar Dano Agudo,Produto Perigoso ao Meio Ambiente,NAO,True
2102,Select One Pack,FD - Fumigante em Lata,cletodim (oxima ciclohexanodiona) (120 g/L),UPL DO BRASIL INDÚSTRIA E COMÉRCIO DE INSUMOS AGROPECUÁRIOS S.A. - MATRIZ ITUVERAVA/SP,Herbicida,"Seletivo, de ação sistêmica",TOMATE,Panicum maximum,capim-coloninho (1); capim-colonião; capim-guiné, (Arysta Lifescience North America Corporation - San Francisco<ESTADOS UNIDOS>FORMULADOR) +  (UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A.  - Salto de Pirapora/SP<BRASIL>FORMULADOR) +  (UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A.  - Salto de Pirapora/SP<BRASIL>IMPORTADOR) +  (UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A.  - Fabrica Ituverava/SP<BRASIL>FORMULADOR) +  (UPL Limited - Unit-3 -  Akleshwar<ÍNDIA>FORMULADOR) +  (United Phosphorus (Índia) LLP (Unit 11)<ÍNDIA>FORMULADOR) +  (UPL Argentina S.A.<ARGENTINA>FORMULADOR),Categoria 5  Produto Improvável de Causar Dano Agudo,Produto Perigoso ao Meio Ambiente,NAO,True
6315,Gli-Up 720 WG,WG - Grânulos Dispersíveis em Água,glifosato-sal de amônio (glicina substituída) (792.5 g/kg),CROPCHEM LTDA - PORTO ALEGRE,Herbicida,Sistêmico/ Total ,CARAMBOLA,Bidens pilosa,fura-capa; pico-pico; picão (1)," (Shandong Weifang Rainbow Chemical Co., Ltd. - Unidade Fabril 01<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Jiangsu Good Harvest - Weien Agrochemical Co. Ltd.<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Nortox S.A. - Arapongas<BRASIL>FORMULADOR) +  (Nortox S.A. - Rondonópolis<BRASIL>FORMULADOR) +  (Prentiss Química Ltda. - Campo Largo/PR<BRASIL>FORMULADOR) +  (Nortox S.A. - Arapongas<BRASIL>IMPORTADOR) +  (Nortox S.A. - Rondonópolis<BRASIL>IMPORTADOR) +  (Cropchem Ltda.- Carazinho<BRASIL>IMPORTADOR) +  (Jiangsu United Agrochemical Co. Ltd.<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Shenyang Research Institute Of Chemical Industry (Nantong) Chemical Technology Co. Ltd.<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Sumitomo Chemical India Limited - Gujarat<ÍNDIA>FORMULADOR) +  (Zhejiang Xinan Chemical Industrial Group Co., Ltd - Jiande City<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Sino-Agri Leading (Tianjin) Agrochemical Company Limited.<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Alamos do Brasil Ltda.<BRASIL>IMPORTADOR) +  (Alamos do Brasil Ltda.  - Pinhalzinho<BRASIL>IMPORTADOR) +  (Alamos do Brasil Ltda. - Filial Mariópolis<BRASIL>IMPORTADOR) +  (UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A.  - Salto de Pirapora/SP<BRASIL>IMPORTADOR) +  (Belagricola Comercio e Representações de Produtos Agricolas S.A. <BRASIL>IMPORTADOR) +  (Vanon do Brasil Comércio e Importação de Insumos Agrícolas Ltda.<BRASIL>IMPORTADOR) +  (CCAB Agro S.A.   São Paulo<BRASIL>IMPORTADOR) +  (CCAB Agro S.A.   Luis Eduardo Magalhães<BRASIL>IMPORTADOR) +  (CCAB Agro S.A.   Rondonópolis<BRASIL>IMPORTADOR) +  (Fiagril Ltda.  Lucas do Rio Verde/MT<BRASIL>IMPORTADOR) +  (Cropchem Ltda. - Ibiporã<BRASIL>IMPORTADOR) +  (BRA Defensivos Agrícolas Ltda - Piracicaba/SP<BRASIL>IMPORTADOR) +  (Green Place Comércio e Distribuição Ltda.<BRASIL>IMPORTADOR) +  (Sinagro Produtos Agropecuários Ltda<BRASIL>IMPORTADOR) +  (Tecnomyl Brasil Distribuidora de Produtos Agrícolas Ltda - Foz do Iguaçu<BRASIL>IMPORTADOR) +  (Macrofértil Indústria e Comércio de Fertilizantes Ltda. - Assis<BRASIL>IMPORTADOR) +  (Agrocat Distribuidora de Insumos Agrícolas Ltda.<BRASIL>IMPORTADOR) +  (Hubei Trisun Chemicals Co., Ltd.<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Zhenjiang Jiangnan Chemicals Co. Ltd.<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Agrocat Distribuidora de Insumos Agrícolas Ltda.<BRASIL>IMPORTADOR) +  (DKBR Trading S.A.  - Londrina<BRASIL>IMPORTADOR) +  (CCAB Agro S.A.   Luis Eduardo Magalhães<BRASIL>IMPORTADOR) +  (CCAB Agro S.A.   Rondonópolis<BRASIL>IMPORTADOR) +  (CCAB Agro S.A.   São Paulo<BRASIL>IMPORTADOR) +  (CCAB Agro S.A - Barueri<BRASIL>IMPORTADOR) +  (Sichuan Leshan Fuhua Tongda Agro-Chemical Technology Co Ltd.<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Macrofértil Indústria e Comércio de Fertilizantes Ltda. - Ponta Grossa<BRASIL>IMPORTADOR) +  (Macrofértil Indústria e Comércio de Fertilizantes Ltda. - Cuiaba<BRASIL>IMPORTADOR) +  (Macrofértil Indústria e Comércio de Fertilizantes Ltda. - Paraguaçu Paulista<BRASIL>IMPORTADOR) +  (Adama Brasil S.A.- Londrina/PR<BRASIL>IMPORTADOR) +  (Adama Brasil S.A. - Taquari<BRASIL>IMPORTADOR) +  (Agricola Alvorada S.A. - Primavera do Leste/MT (Parque industrial)<BRASIL>IMPORTADOR) +  (DKBR Trading S.A.  - Londrina<BRASIL>IMPORTADOR) +  (Sumitomo Chemical Brasil Indústria Química S.A. - Maracanaú/CE<BRASIL>IMPORTADOR) +  (Sumitomo Chemical Brasil Indústria Química S.A. - Barueri/SP<BRASIL>IMPORTADOR) +  (Sumitomo Chemical Brasil Indústria Química S.A.  - Carazinho<BRASIL>IMPORTADOR) +  (Sumitomo Chemical Brasil Indústria Química S.A.  -  Ibiporâ<BRASIL>IMPORTADOR) +  (M/s. Prism Crop Science Pvt Ltd - Yadadri<ÍNDIA>FORMULADOR) +  (Anhui Guangxin Agrochemical Co., Ltd. - Anhui<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (DKBR Trading S.A.  Cuiaba<BRASIL>IMPORTADOR) +  (DKBR Trading S.A. - São Paulo/SP<BRASIL>IMPORTADOR) +  (Louis Dreyfus Company Brasil Ltda  Paraguaçu Paulista/SP<BRASIL>IMPORTADOR) +  (Louis Dreyfus Company Brasil S.",Categoria 5  Produto Improvável de Causar Dano Agudo,Produto Perigoso ao Meio Ambiente,NAO,True
22525,Alpes 970 SG,SG - Granulado Solúvel,acefato (organofosforado) (970 g/kg),CHDS DO BRASIL COMÉRCIO DE INSUMOS AGRÍCOLAS LTDA - SÃO MIGUEL DO IGUAÇU/PR,Acaricida/Inseticida,,SOJA,Euschistus heros,Percevejo-marrom," (Jiangsu Lanfeng Biochemical Co., Ltd. - Planta 1<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Nantong Weilike Chemical Co., Ltd.<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (CHDS Agrochemicals S.A.I.C.<PARAGUAI>FORMULADOR) +  (Rallis India Ltd - Ankleshwar Unit I<ÍNDIA>FORMULADOR) +  (Coromandel International Limited. - Unit I - Sarigam<ÍNDIA>FORMULADOR) +  (Lion Agrevo (Jiangsu) Co,.Ltd<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Anhui Richen Plant Protection Engineering Co. Ltd.<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Ningbo Sunjoy Agroscience Co., Ltd.<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (GSP Crop Science Limited - Ahmedabad 2<ÍNDIA>FORMULADOR) +  (Anhui Richen Plant Protection Engineering Co. Ltd.<CHINA, REPUBLICA POPULAR>FORMULADOR)",Categoria 4  Produto Pouco Tóxico,Produto Muito Perigoso ao Meio Ambiente,NAO,True
15016,Herold SC,SC - Suspensão Concentrada,diflubenzurom (benzoiluréia) (240 g/L),AVGUST CROP PROTECTION IMPORTAÇÃO E EXPORTAÇÃO LTDA.,Acaricida/Inseticida,de ingestão.,SOJA,Pseudoplusia includens,Lagarta-do-linho;  Lagarta-falsa-medideira," (Changzhou August Agrochem Company Limited<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (August INC (Fábrica)<RÚSSIA, FEDERAÇÃO DA>FORMULADOR) +  (CJSC AUGUST-BEL<RÚSSIA, FEDERAÇÃO DA>FORMULADOR) +  (Sipcam Nichino Brasil S.A. - Uberaba/MG<BRASIL>FORMULADOR) +  (Adama Brasil S.A.- Londrina/PR<BRASIL>FORMULADOR) +  (Adama Brasil S.A. - Taquari<BRASIL>FORMULADOR) +  (Prentiss Química Ltda. - Campo Largo/PR<BRASIL>FORMULADOR) +  (Tagma Brasil Indústria e Comércio de Produtos Químicos Ltda.<BRASIL>FORMULADOR) +  (Ouro Fino Química S.A. - Uberaba<BRASIL>FORMULADOR) +  (Servatis S.A., Massa Falida da Sociedade Empresaria <BRASIL>FORMULADOR)",Categoria 4  Produto Pouco Tóxico,Produto Muito Perigoso ao Meio Ambiente,OUTROS,True
12321,Glifosato Nortox Ultra,SL - Concentrado Solúvel,glifosato-sal de isopropilamina (glicina substituída) (720 g/L),NORTOX S.A. - ARAPONGAS,Herbicida,,CACAU,Solanum americanum,erva-de-bicho (1); erva-moura; maria-pretinha," (Nortox S.A. - Arapongas<BRASIL>FORMULADOR) +  (Jiangsu Corechem Co. Ltd.<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Jiangsu Good Harvest - Weien Agrochemical Co. Ltd.<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Zhejiang Xinan Chemical Industrial Group Co., Ltd - Jiande City<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Wasion Crop Science and Technology Co., Ltd.<CHINA, REPUBLICA POPULAR>FORMULADOR)",Categoria 5  Produto Improvável de Causar Dano Agudo,Produto Perigoso ao Meio Ambiente,NAO,True
26722,Glifosato 480 SL Tecnomyl,SL - Concentrado Solúvel,glifosato-sal de isopropilamina (glicina substituída) (480 g/L),TECNOMYL BRASIL DISTRIBUIDORA DE PRODUTOS AGRÍCOLAS LTDA - FOZ DO IGUAÇU,Herbicida,"Não seletivo, de ação sistêmica",ARROZ,Paspalum paniculatum,capim-da-guiné; capim-de-burro (2); grama-da-guiné," (Tecnomyl S.A. - Villeta<PARAGUAI>FORMULADOR) +  (Sichuan Leshan Fuhua Tongda Agro-Chemical Technology Co Ltd.<CHINA, REPUBLICA POPULAR>FORMULADOR)",Categoria 5  Produto Improvável de Causar Dano Agudo,Produto Perigoso ao Meio Ambiente,NAO,True
